N	F0	m	d_ms	d0	v0	prob	collision	Int_dv1	Int_dv2	Int_dv3	Int_dv4	Int_dv5	Int_dv6	Int_dv7	Int_dd2	Int_dd3	Int_dd4	Int_dd5	Int_dd6	Int_dd7	duration	freq	ampl	attack	Fresponse
8	800	1000	1	7	62	0.01	0	25.788130	40.245410	30.994742	23.792496	19.304319	18.022006	17.053506	94.346756	65.253103	57.078019	41.255293	11.948019	10.131949	0.646422	1.378347	2.236854	1	-4020
8	800	1000	1	7	99	0.01	0	21.347821	28.676644	19.330033	14.091600	13.382959	13.728769	13.779354	36.446461	70.657283	52.889298	10.794972	8.635169	9.009989	2.048814	2.643065	4.652409	1	-3582
8	800	1000	1	7	97	0.01	0	118.440102	230.882114	197.826192	201.667884	188.391161	160.917102	136.178412	1715.330929	1595.288298	333.500969	1287.753817	1036.772704	780.044048	3.209250	2.419858	4.823527	1	-5076
8	800	1000	1	5	77	0.01	0	37.848385	56.432400	45.289953	28.390061	16.577757	13.122583	10.270409	129.107447	80.086298	127.236734	99.696372	24.610231	25.708847	4.312561	0.663680	2.379406	1	-4405
8	800	1000	1	9	85	0.01	0	65.766265	120.232610	106.804423	38.407472	20.544543	15.918611	12.355891	439.889528	102.513666	526.780660	173.947371	59.561577	47.713184	0.217988	0.309223	2.680166	1	-3133
8	800	1000	1	8	96	0.01	0	109.413906	202.950299	135.150732	69.117996	21.359161	14.420987	12.096221	718.991633	518.527853	525.425367	468.708897	80.045913	23.241933	3.529716	1.676428	2.527589	1	-7552
8	800	1000	1	9	82	0.01	0	76.404221	123.213582	49.286585	23.430709	13.226954	11.485863	8.868166	328.961259	540.462685	191.494110	88.140670	18.167485	29.123056	1.408631	0.837678	2.891659	1	-9291
8	800	1000	1	7	53	0.01	0	31.381324	52.433734	28.177262	16.678432	13.466712	13.445934	12.474246	147.817465	174.153079	92.825390	32.588077	4.368838	11.019002	1.612156	0.831571	3.790368	1	-5453
8	800	1000	1	9	79	0.01	0	92.489259	143.132726	60.141730	45.245875	14.655557	9.773315	8.077544	352.654426	616.066707	94.345681	252.778759	44.406733	21.681686	2.009635	1.009729	0.501923	1	-9210
8	800	1000	1	6	83	0.01	0	88.560329	128.905734	61.996995	31.384838	16.183003	13.247715	11.909525	280.625288	502.139680	207.309867	140.742525	30.118568	23.740730	2.786499	2.232585	3.624195	1	-8103
8	800	1000	1	8	52	0.01	0	41.656444	67.642232	34.410674	16.494590	10.181631	9.437062	8.417335	184.482193	241.879924	138.413786	58.248184	11.073897	13.992492	0.143815	0.910782	3.198325	1	-4799
8	800	1000	1	7	92	0.01	0	77.084956	147.232115	90.098692	70.171200	32.740137	22.901418	17.589377	523.666878	415.305115	196.567165	334.830257	104.787681	57.690853	3.221064	0.321259	0.790597	1	-7368
8	800	1000	1	5	57	0.01	0	85.737105	124.774730	53.326689	59.337494	8.027915	7.894552	7.198042	253.767956	509.422393	84.657072	469.659648	3.723014	12.848887	4.107392	1.376577	1.852458	1	-9470
8	800	1000	1	7	96	0.01	0	84.431209	118.062229	82.787794	36.336868	24.420627	22.475755	21.169431	236.254361	261.542202	366.351187	125.573477	21.638910	20.998907	0.645375	2.707141	4.800592	1	-9157
8	800	1000	1	6	80	0.01	0	20.978226	32.432752	24.028970	19.280859	16.074147	15.098663	14.984756	78.507356	62.651123	35.045006	34.087907	9.260832	4.727127	0.207370	1.089294	2.373913	1	-3316
8	800	1000	1	5	83	0.01	0	84.465339	138.794539	61.442090	30.878593	11.825790	11.285030	8.990750	371.985419	556.204758	227.791975	162.868250	13.250331	26.936282	4.022752	1.520042	2.189749	1	-9326
8	800	1000	1	6	76	0.01	0	93.680978	135.256928	47.514295	34.304465	12.871367	11.824157	10.304093	279.345365	642.467683	90.987543	194.440675	16.193407	15.816254	3.032344	2.198953	3.390179	1	-8959
8	800	1000	1	8	60	0.01	0	48.559275	36.887978	23.147350	14.414783	10.474204	11.554552	9.784814	104.786762	110.412782	71.407097	35.145401	11.596674	20.555865	1.366460	1.765374	3.522156	1	-9736
8	800	1000	1	6	65	0.01	0	9.910477	15.857652	11.503870	8.724007	5.175962	3.030382	1.257028	19.726094	9.459661	12.029254	18.692432	8.588687	8.716859	0.519761	0.178591	4.711737	1	-5801
8	800	1000	1	5	69	0.01	0	68.486651	125.902184	125.720431	141.250919	129.017175	120.039475	112.949713	492.578257	2187.400818	233.250368	702.957148	658.556772	526.123621	2.737300	2.835560	1.813456	1	-3515
8	800	1000	1	7	60	0.01	0	37.632337	30.585326	27.152364	14.644826	10.107410	10.335168	9.820877	71.881411	31.648050	98.392990	45.055761	3.701422	6.934439	0.999039	1.635804	3.260262	1	-8306
8	800	1000	1	8	73	0.01	0	40.512994	62.838724	43.647474	36.192582	26.967254	16.870609	14.196607	160.774663	136.711611	61.255352	81.984483	86.218162	22.404461	2.189383	0.850777	4.318827	1	-5750
8	800	1000	1	7	52	0.01	0	47.951797	35.868244	22.097478	28.191727	13.149306	8.507166	7.178892	109.534590	123.291369	111.844609	168.615156	34.622489	12.515770	3.913886	0.154164	4.647877	1	-8624
8	800	1000	1	9	93	0.01	0	91.675247	141.230103	77.475200	42.904559	16.888622	11.885673	9.633979	344.090945	465.778246	251.854706	204.218839	47.515050	31.266501	2.931852	2.331001	1.764702	1	-9090
8	800	1000	1	6	91	0.01	0	45.632143	68.011476	35.628975	21.938311	18.625701	16.075504	13.882075	162.642277	248.592795	100.037019	31.544697	26.131862	25.510634	2.856334	0.521455	3.970687	1	-5989
8	800	1000	1	8	77	0.01	0	78.452838	119.131127	55.037553	30.519183	14.497248	10.168950	8.189013	282.266299	470.272280	173.608649	134.905776	40.314568	22.016477	2.956825	2.369411	2.144566	1	-7964
8	800	1000	1	5	53	0.01	0	65.316919	100.460086	33.934905	20.692958	7.994096	8.095187	6.371456	235.546431	479.935989	99.155903	114.356616	6.153792	20.495601	3.791861	2.060179	1.824442	1	-6909
8	800	1000	1	6	63	0.01	0	58.212815	97.720177	44.224246	25.917291	10.109210	9.306069	8.852213	266.334401	371.055747	146.380508	140.146689	9.796289	11.414616	3.953514	1.477648	2.205267	1	-8551
8	800	1000	1	8	70	0.01	0	31.032050	48.460443	40.488908	31.438878	24.203498	14.606608	10.006866	122.052933	56.917209	68.612969	60.308370	74.822407	36.297905	1.965819	0.561901	1.032029	1	-3769
8	800	1000	1	6	66	0.01	0	31.784136	57.192351	45.125525	34.777279	15.150675	9.933700	7.574656	209.729151	205.744509	102.152983	186.777017	49.349867	30.489544	4.196518	0.164165	2.190710	1	-4335
8	800	1000	1	8	84	0.01	0	88.743957	140.734608	72.842025	57.031355	14.114467	10.706051	8.277735	360.947134	502.117234	132.917134	334.321109	36.711349	24.288573	2.039244	2.958138	0.628956	1	-9278
8	800	1000	1	9	72	0.01	0	44.364225	70.017978	39.080250	25.679532	14.335023	10.832839	9.261255	182.414895	232.752826	97.248115	89.381185	33.033288	20.529299	4.954988	0.413569	2.102954	1	-5390
8	800	1000	1	5	74	0.01	0	82.664758	128.837764	48.189110	25.478117	10.102333	9.632395	7.431740	317.597474	581.822733	163.139652	134.432792	6.711129	25.453416	3.550502	2.870165	1.662526	1	-9204
8	800	1000	1	9	50	0.01	0	50.887476	28.960511	24.551567	18.463417	15.563973	15.742049	15.255659	169.315479	50.909881	62.258455	36.642189	5.445157	8.692763	1.037770	1.708908	4.380078	1	-4108
8	800	1000	1	9	56	0.01	0	61.180246	41.411229	26.048355	17.526276	14.901161	14.485562	13.700631	200.093119	157.482283	78.418158	48.680275	12.766607	11.068319	1.250865	2.340294	4.591983	1	-9895
8	800	1000	1	6	52	0.01	0	74.273564	125.030468	54.414402	58.436360	12.022780	11.847240	10.270497	372.941617	520.807917	62.727219	442.614856	10.038046	25.672420	4.618073	2.220017	3.917127	1	-9758
8	800	1000	1	5	96	0.01	0	41.340460	58.024298	49.472161	46.779433	32.817731	26.714844	21.229369	125.033741	68.506792	46.983243	131.620302	48.858641	45.432741	2.712626	2.263384	2.344386	1	-3850
8	800	1000	1	6	64	0.01	0	56.799570	111.061328	82.727710	46.764666	19.468736	12.651967	9.251167	659.449041	263.377924	388.663498	339.452061	95.216977	50.308419	0.238475	0.107169	1.315760	1	-3864
8	800	1000	1	9	91	0.01	0	39.759855	64.561692	49.034363	36.827521	31.846233	29.219848	22.824560	170.374873	109.613303	90.948662	46.967444	24.596088	50.648839	1.529310	0.702533	1.497314	1	-5808
8	800	1000	1	6	95	0.01	0	112.142059	208.406565	158.044668	81.769836	25.146353	14.711017	12.640410	767.243355	401.840459	630.999766	561.532158	114.428100	30.694253	2.662529	2.628993	2.446425	1	-7121
8	800	1000	1	7	73	0.01	0	110.737240	142.977966	145.422649	143.693263	130.183411	116.246817	102.330586	2932.177183	233.453596	750.643745	1291.368350	1012.865462	727.912815	4.153301	1.189569	2.183157	1	-4739
8	800	1000	1	5	95	0.01	0	108.948824	212.331497	168.900101	84.454383	26.247598	15.039892	14.757610	854.842218	370.078709	689.587857	595.314585	140.301853	17.557444	3.246635	2.353215	3.661962	1	-6957
